episode,reward
861,1.081995
862,1.000567
863,0.01117418
864,1.030937
865,1
866,3.822454
867,3.394742
868,1
869,-2.039339
870,1.002414
871,1
872,5.353969
873,4.848087
874,4.759571
875,1
876,5.996418
877,1
878,1
879,1.015392
880,4.485117
881,1
882,1
883,1.024131
884,1
885,1.417064
886,4.936494
887,1
888,1
889,3.362948
890,1.012592
891,1.01249
892,2.865907
893,1.025757
894,1.5
895,2.172772
896,1
897,1
898,-1.405417
899,1
900,1
901,3.047002
902,1.454254
903,1
904,0.03492022
905,4.186813
906,1.044151
907,0.03740756
908,5.464233
909,1
910,1
911,2.339213
912,2.26014
913,1
914,1
915,4.042416
916,0.02722235
917,0.03245028
918,0.03720143
919,0.1717535
920,1.003798
921,3.540029
922,1
923,1
924,1
925,-0.3864298
926,1.004488
927,1.004461
928,1.004434
929,1.004408
930,2.181288
931,1
932,2.08592
933,-14.99247
934,2.151879
935,1
936,1
937,1.287817
938,1.025556
939,1
940,1
941,11.5
942,-14.98327
943,1
944,-14.98171
945,-0.5008874
946,1.007964
947,0
948,4.579113
949,3.237636
950,1
951,1
952,1
953,5.488689
954,1
955,2.110272
956,0.004393553
957,2.69487
958,0.01934175
959,3.586815
960,4.427145
961,1.026145
962,1.863712
963,1
964,2.096638
965,1
966,1
967,1
968,1
969,1
970,3.232255
971,2.096885
972,4.090404
973,0.4830481
974,4.757106
975,-7.5
976,0.0006198316
977,1
978,1
979,1
980,3.105537
981,2.444907
982,0.03781991
983,-0.4999999
984,3.517216
985,1
986,1
987,1
988,1
989,0.04328715
990,8.499998
991,1.511489
992,3.573526
993,1
994,0.05380839
995,2.352102
996,1
997,2.14647
998,1
999,0.4999996
1000,1
1001,2.509803
1002,1
1003,-14.97157
1004,2.070725
1005,1
1006,0.01196023
1007,2.201671
1008,2.670753
1009,1
1010,1
1011,1
1012,0.3811137
1013,1
1014,-12.09719
1015,0
1016,2.288877
1017,2.25481
1018,2.118335
1019,3.011133
1020,1
1021,1.007462
1022,1
1023,-0.2142872
1024,1
1025,1.066585
1026,1
1027,2.25494
1028,1
1029,-1.440565
1030,1
1031,0.07033964
1032,0
1033,1
1034,1
1035,1
1036,0
1037,1.00799
1038,4.639311
1039,1
1040,-0.8083121
1041,1
1042,1.005314
1043,1.00528
1044,1
1045,-11.5
1046,1.024812
1047,1
1048,0.4951617
1049,1
1050,0.01652462
1051,3.504093
1052,3.428072
1053,2.349628
1054,1
1055,2.55484
1056,1.041662
1057,1
1058,1.040835
1059,0.4814516
1060,0
1061,3.533772
1062,0.1585008
1063,1.011802
1064,3.995691
1065,3.496046
1066,2.27017
1067,0.4361965
1068,1
1069,1
1070,0.6537063
1071,1
1072,3.529496
1073,-0.3673629
1074,1
1075,1
1076,1.029239
1077,1
1078,2.399223
1079,1.033769
1080,-14.94679
1081,0.04327662
1082,3.428394
1083,2.308945
1084,2.163013
1085,-0.2267184
1086,1
1087,0.04571429
1088,0.09681688
1089,1
1090,4.836414
1091,-0.03677581
1092,-14.98437
1093,1
1094,12.5
1095,4.888959
1096,1
1097,0
1098,2.244429
1099,3.717245
1100,1
1101,1
1102,1
1103,1
1104,1.252838
1105,1.028514
1106,1.028169
1107,2.490403
1108,1
1109,1.037688
1110,1
1111,1
1112,0.539084
1113,1
1114,1.064581
1115,-1.117877
1116,1.009241
1117,1
1118,1
1119,1
1120,0.9128851
1121,1
1122,1
1123,0.4555588
1124,0
1125,5.970471
1126,0
1127,1
1128,0.2537988
1129,1
1130,3.257167
1131,1.787565
1132,1.013226
1133,1
1134,2.443773
1135,1.437606
1136,5.583748
1137,1.298506
1138,1
1139,1.041237
1140,1
1141,2.316865
1142,0.2206571
1143,0.01488734
1144,1
1145,0
1146,2.811877
1147,1.053164
1148,1
1149,1
1150,0.04569739
1151,3.633334
1152,1
1153,-0.3563397
1154,1
1155,1
1156,6.206897
1157,6.118387
1158,1
1159,1.038779
1160,-14.95993
1161,3.588302
1162,1
1163,3.563958
1164,1
1165,0
1166,1.5
1167,1
1168,0
1169,2.157628
1170,2.153489
1171,1
1172,1
1173,2.718537
1174,-0.5470421
1175,2
1176,0.0642321
1177,0.05399173
1178,2.499999
1179,2.316205
1180,-0.9766384
1181,1.470961
1182,1
1183,1.002393
1184,1
1185,2.330056
1186,1
1187,1
1188,1
1189,1
1190,0.06861296
1191,1
1192,-15
1193,-15
1194,2.47103
1195,1
1196,0.04758606
1197,2.5201
1198,1
1199,0.990046
1200,1
1201,-0.6060921
1202,2.516347
1203,0.02419635
1204,1
1205,-14.97841
1206,1
1207,2.5
1208,1.105982
1209,0
1210,8.5
1211,1.117556
1212,2.200487
1213,7.420298
1214,3.190853
1215,0
1216,3.276652
1217,1
1218,4.537069
1219,-14.9789
1220,3.499998
1221,1.056352
1222,1
1223,1
1224,1
1225,0.02427832
1226,2.39007
1227,3.748976
1228,6.5
1229,4.189044
1230,0
1231,3.5
1232,1
1233,1
1234,0.04141572
1235,2.282369
1236,3.501623
1237,1
1238,1
1239,1
1240,1.00002
1241,0.1786485
1242,1.918198
1243,5
1244,1.015589
1245,2.142725
1246,4.003746
1247,1
1248,1
1249,1
1250,0.06316293
1251,2.25269
1252,0.1935896
1253,5.5
1254,1
1255,1.00831
1256,5
1257,1
1258,1.000604
1259,-9.499999
1260,1
1261,1
1262,1
1263,1
1264,1
1265,0.05362394
1266,-0.7262609
1267,2.671457
1268,1.046072
1269,1
1270,7.14359
1271,1
1272,1
1273,0.03561176
1274,2.226517
1275,1
1276,4.452652
1277,1
1278,1
1279,5.625447
1280,0.01066049
1281,0.02457319
1282,0.173456
1283,1.597058
1284,1
1285,1.70222
1286,1
1287,1.12215
1288,2.273802
1289,1
1290,0
1291,2.589072
1292,1.036996
1293,-14.94309
1294,1
1295,0.2106827
1296,1.005664
1297,1.005607
1298,1
1299,2.329829
1300,0.6547175
1301,0.0313077
1302,1
1303,1.010889
1304,1
1305,1
1306,2.243333
1307,0.6329486
1308,2.162228
1309,1
1310,0.01200324
1311,1
1312,2.215686
1313,-10.5
1314,9.483211
1315,0.05687912
1316,1
1317,1
1318,0.0567367
1319,1
1320,-0.7020953
1321,-15
1322,3.802062
1323,-14.97389
1324,5.500002
1325,2.890715
1326,-1
1327,-0.1623465
1328,1.007844
1329,1
1330,1
1331,1
1332,1.500001
1333,0.005342004
1334,1
1335,0.0684536
1336,7.435665
1337,1
1338,2.81487
1339,1
1340,1
1341,0.7405874
1342,-15
1343,1.014998
1344,1
1345,1.014855
1346,1
1347,1
1348,1.014121
1349,0.3040351
1350,1
1351,-11.5
1352,1.062999
1353,0.0282036
1354,2.185706
1355,6.121892
1356,1.041314
1357,1
1358,1
1359,1.053658
1360,1
1361,2.470324
1362,0.01989297
1363,2.524996
1364,-14.98884
1365,1.0007
1366,1.075524
1367,2.207295
1368,1
1369,1
1370,7.500001
1371,1
1372,0.01130136
1373,1
1374,1
1375,1
1376,0.008555796
1377,1
1378,1
1379,-1.704941
1380,1
1381,1.009639
1382,0
1383,-9.500001
1384,1
1385,1.003446
1386,1.003447
1387,3.363456
1388,1
1389,11.5
1390,-14.97769
1391,0.02202588
1392,1
1393,1
1394,1
1395,2.264917
1396,0.2330008
1397,1
1398,2.147423
1399,1.385606
1400,1
1401,1
1402,1
1403,0.2152008
1404,2.235798
1405,1
1406,1
1407,3.462649
1408,3.562754
1409,0.01952421
1410,1.003114
1411,2.399442
1412,0.7602766
1413,0
1414,2.33763
1415,2.37302
1416,3.313591
1417,-0.4529068
1418,1
1419,0.9160677
1420,-0.4999996
1421,1.054564
1422,0.03682042
1423,1
1424,0.8271852
1425,3.260014
1426,1
1427,0.01839203
1428,3.391529
1429,1
1430,0.2702253
1431,1
1432,6.265349
1433,-0.2841877
1434,0.06404413
1435,2.079199
1436,1
1437,1.122849
1438,1
1439,1.501915
1440,1
1441,6.499998
1442,0
1443,2.282386
1444,2.217647
1445,1
1446,-0.8774289
1447,1
1448,1
1449,3.256803
1450,0.02706758
1451,4.500001
1452,1.007013
1453,1
1454,0
1455,2.180036
1456,1.510881
1457,1
1458,0.5000001
1459,0
1460,1
1461,3.5
1462,3.54394
1463,1.122112
1464,-1.954242
1465,1
1466,0
1467,1.090922
1468,8.500001
1469,1.438262
1470,2.627262
1471,1
1472,1
1473,1
1474,1
1475,1
1476,1.033793
1477,0.05691832
1478,2.343598
1479,2.240026
1480,1
1481,1
1482,2.226584
1483,1
1484,5.5
1485,0.001598645
1486,1
1487,3.424886
1488,2.206502
1489,-3.492679
1490,1
1491,1.008014
1492,1
1493,4.668465
1494,-0.9584046
1495,1.100502
1496,2.155886
1497,0.4121536
1498,1
1499,2.135106
1500,1
1501,1
1502,2.181359
1503,0.3360316
1504,1
1505,1.028001
1506,0.06884453
1507,1.009359
1508,1
1509,0.1041558
1510,1.165664
1511,1.029547
1512,2.582101
1513,1
1514,1
1515,0.02900883
1516,1.002527
1517,1.119341
1518,3.394252
1519,9.5
1520,1
1521,1
1522,1
1523,1
1524,-1.210726
1525,1
1526,1.007158
1527,0.1529909
1528,1
1529,2.593268
1530,1
1531,4.005527
1532,1.753925
1533,2.800156
1534,0.01917782
1535,-0.8277812
1536,1
1537,-1
1538,-7.499999
1539,4.434594
1540,1.018391
1541,1.018214
1542,1.018036
1543,1.017769
1544,2.372959
1545,0.05040064
1546,1.004238
1547,4.437609
1548,1
1549,-11.82248
1550,0
1551,0.5107416
1552,1.006606
1553,3.059958
1554,-15
1555,1
1556,2.837938
1557,0.3176123
1558,1
1559,1
1560,-14.98494
1561,2.675307
1562,3.26737
1563,0
1564,1.473739
1565,5
1566,3.443129
1567,6.073054
1568,1
1569,2.165391
1570,1
1571,1.061719
1572,2.206411
1573,1
1574,4.669718
1575,1
1576,1
1577,4.71654
1578,1.657871
1579,0.03912725
1580,1
1581,5.236115
1582,-1.574206
1583,1
1584,1
1585,2.466017
1586,0.04235479
1587,1
1588,1
1589,1
1590,0.05236564
1591,1.013673
1592,1
1593,1
1594,2.221209
1595,-14.5
1596,1.023014
1597,1
1598,0.05694837
1599,0.04248948
1600,-12.5
1601,1
1602,-0.9988802
1603,1
1604,1.089321
1605,1.120473
1606,0.2294363
1607,1
1608,2.475594
1609,1
1610,1
1611,3.753121
1612,1
1613,3.387946
1614,2.168561
1615,1
1616,0.05163947
1617,1
1618,1
1619,2.115991
1620,-14.99755
1621,3.56244
1622,1
1623,1
1624,1
1625,0.05312245
1626,1.011596
1627,1
1628,2.277545
1629,0.2650506
1630,3.231902
1631,1
1632,1
1633,1
1634,1
1635,5.5
1636,0
1637,-0.1919065
1638,1.4619
1639,1
1640,1
1641,1
1642,1.008314
1643,-15
1644,1
1645,1
1646,1.008242
1647,1.008195
1648,1
1649,0
1650,1
1651,-15
1652,2.855623
1653,1
1654,1
1655,1
1656,1
1657,3.385117
1658,5.500001
1659,2.125601
1660,0.01006109
1661,3.545179
1662,2.365
1663,1
1664,-0.2464863
1665,1
1666,0.07667673
1667,1.052892
1668,3.555594
1669,1.028656
1670,1.993795
1671,1
1672,2.569742
1673,1
1674,0.05532455
1675,1
1676,1
1677,1.497287
1678,1
1679,9.5
1680,1
1681,0
1682,1.091314
1683,1
1684,5.10766
1685,0.3492173
1686,1.5
1687,0.01100032
1688,0.01221422
1689,5.757579
1690,1
1691,-14.95895
1692,1.007562
1693,1
1694,1
1695,4.874194
1696,1
1697,0.02954767
1698,8.420907
1699,1
1700,1.275918
1701,1.045606
1702,1
1703,4.806177
1704,0.04609609
1705,1
1706,1.03075
1707,0.0555338
1708,3.440741
1709,-11.5
1710,0.007535921
1711,2.08056
1712,1
1713,1
1714,2.499999
1715,1
1716,1
1717,5
1718,3.469053
1719,3.413118
1720,-0.7395431
1721,1.030085
1722,1
1723,1.028513
1724,1.028265
1725,0.3478513
1726,1
1727,0
1728,1
1729,2.973299
1730,1
1731,1
1732,1.034894
1733,1
1734,1.031809
1735,-14.93975
1736,0.3144271
1737,0
1738,5.499999
1739,4.697714
1740,1
1741,0.3457245
1742,1.960563
1743,-1.110983
1744,0.02239749
1745,1
1746,1
1747,1
1748,1.01612
1749,1
1750,-13.74753
1751,1
1752,3.470976
1753,1
1754,-1.132233
1755,1
1756,0
1757,1.009263
1758,1.118294
1759,4.499999
1760,0
1761,1
1762,-0.5893569
1763,1.024194
1764,0.3273978
1765,1.001856
1766,5.499999
1767,3.381183
1768,-1.324668
1769,1
1770,1.56631
1771,1
1772,0.01079142
1773,2.286394
1774,1
